planName,companyName,Year,Claim_Count
"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)","United India Insurance Co. Ltd.",2021,12
"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)","United India Insurance Co. Ltd.",2022,10
"Maha Bank Swasthya Yojana (Group Health Insurance Scheme)","United India Insurance Co. Ltd.",total,28
"Medi classic Insurance Policy (Individual)","Star Health & Allied Insurance Co. Ltd.�",2020,6
"Medi classic Insurance Policy (Individual)","Star Health & Allied Insurance Co. Ltd.�",2021,10
"Medi classic Insurance Policy (Individual)","Star Health & Allied Insurance Co. Ltd.�",2022,10
"Medi classic Insurance Policy (Individual)","Star Health & Allied Insurance Co. Ltd.�",total,26
"Mosquito Disease Protection Policy � Group","HDFC ERGO General Insurance Co. Ltd.�",2020,10
"Mosquito Disease Protection Policy � Group","HDFC ERGO General Insurance Co. Ltd.�",2021,9
"Mosquito Disease Protection Policy � Group","HDFC ERGO General Insurance Co. Ltd.�",2022,7
"Mosquito Disease Protection Policy � Group","HDFC ERGO General Insurance Co. Ltd.�",total,26
"my: health medisure Super Topup","HDFC ERGO General Insurance Co. Ltd.�",2020,12
"my: health medisure Super Topup","HDFC ERGO General Insurance Co. Ltd.�",2021,5
"my: health medisure Super Topup","HDFC ERGO General Insurance Co. Ltd.�",2022,10
"my: health medisure Super Topup","HDFC ERGO General Insurance Co. Ltd.�",total,27
"my: Optima Secure","HDFC ERGO General Insurance Co. Ltd.�",2020,9
"my: Optima Secure","HDFC ERGO General Insurance Co. Ltd.�",2021,10
"my: Optima Secure","HDFC ERGO General Insurance Co. Ltd.�",2022,8
"my: Optima Secure","HDFC ERGO General Insurance Co. Ltd.�",total,27
"my: Sampoorna Suraksha","HDFC ERGO General Insurance Co. Ltd.�",2020,5
"my: Sampoorna Suraksha","HDFC ERGO General Insurance Co. Ltd.�",2021,4
"my: Sampoorna Suraksha","HDFC ERGO General Insurance Co. Ltd.�",2022,6
"my: Sampoorna Suraksha","HDFC ERGO General Insurance Co. Ltd.�",total,15
"my:credit�Comprehensive Suraksha","HDFC ERGO General Insurance company Ltd�",2020,12
"my:credit�Comprehensive Suraksha","HDFC ERGO General Insurance company Ltd�",2021,9
"my:credit�Comprehensive Suraksha","HDFC ERGO General Insurance company Ltd�",2022,6
"my:credit�Comprehensive Suraksha","HDFC ERGO General Insurance company Ltd�",total,27
"my:health�Comprehensive Suraksha - Group","HDFC ERGO General Insurance company Ltd�",2020,10
"my:health�Comprehensive Suraksha - Group","HDFC ERGO General Insurance company Ltd�",2021,14
"my:health�Comprehensive Suraksha - Group","HDFC ERGO General Insurance company Ltd�",2022,7
"my:health�Comprehensive Suraksha - Group","HDFC ERGO General Insurance company Ltd�",total,31
"my:health�Critical Illness (Add On)","HDFC ERGO General Insurance company Ltd�",2020,11
"my:health�Critical Illness (Add On)","HDFC ERGO General Insurance company Ltd�",2021,7
"my:health�Critical Illness (Add On)","HDFC ERGO General Insurance company Ltd�",2022,10
"my:health�Critical Illness (Add On)","HDFC ERGO General Insurance company Ltd�",total,28
"my:health�Critical Suraksha Plus","HDFC ERGO General Insurance company Ltd�",2020,6
"my:health�Critical Suraksha Plus","HDFC ERGO General Insurance company Ltd�",2021,11
"my:health�Critical Suraksha Plus","HDFC ERGO General Insurance company Ltd�",2022,5
"my:health�Critical Suraksha Plus","HDFC ERGO General Insurance company Ltd�",total,22
"my:health�Women Suraksha","HDFC ERGO General Insurance company Ltd�",2020,6
"my:health�Women Suraksha","HDFC ERGO General Insurance company Ltd�",2021,8
"my:health�Women Suraksha","HDFC ERGO General Insurance company Ltd�",2022,15
"my:health�Women Suraksha","HDFC ERGO General Insurance company Ltd�",total,29
"Navi Cure","Navi General Insurance Ltd.",2020,14
"Navi Cure","Navi General Insurance Ltd.",2021,9
"Navi Cure","Navi General Insurance Ltd.",2022,10
"Navi Cure","Navi General Insurance Ltd.",total,33
"Navi Health","Navi General Insurance Ltd.",2020,11
"Navi Health","Navi General Insurance Ltd.",2021,11
"Navi Health","Navi General Insurance Ltd.",2022,13
"Navi Health","Navi General Insurance Ltd.",total,35
"Navi Health Accident","Navi General Insurance Ltd.",2020,8
"Navi Health Accident","Navi General Insurance Ltd.",2021,15
"Navi Health Accident","Navi General Insurance Ltd.",2022,9
"Navi Health Accident","Navi General Insurance Ltd.",total,32
"Navi Health CritiCare","Navi General Insurance Ltd.",2020,11
"Navi Health CritiCare","Navi General Insurance Ltd.",2021,13
"Navi Health CritiCare","Navi General Insurance Ltd.",2022,11
"Navi Health CritiCare","Navi General Insurance Ltd.",total,35
"Navi Health Group Critical Illness Insurance","Navi General Insurance Ltd.",2020,6
"Navi Health Group Critical Illness Insurance","Navi General Insurance Ltd.",2021,11
"Navi Health Group Critical Illness Insurance","Navi General Insurance Ltd.",2022,12
"Navi Health Group Critical Illness Insurance","Navi General Insurance Ltd.",total,29
"Navi Health Group Critical Surgery","Navi General Insurance Ltd.",2020,8
"Navi Health Group Critical Surgery","Navi General Insurance Ltd.",2021,10
"Navi Health Group Critical Surgery","Navi General Insurance Ltd.",2022,16
"Navi Health Group Critical Surgery","Navi General Insurance Ltd.",total,34
"Navi Health Group HospiCash","Navi General Insurance Ltd.",2020,4
"Navi Health Group HospiCash","Navi General Insurance Ltd.",2021,6
"Navi Health Group HospiCash","Navi General Insurance Ltd.",2022,13
"Navi Health Group HospiCash","Navi General Insurance Ltd.",total,23
"Navi Health Group Insurance","Navi General Insurance Ltd.",2020,6
"Navi Health Group Insurance","Navi General Insurance Ltd.",2021,18
"Navi Health Group Insurance","Navi General Insurance Ltd.",2022,8
"Navi Health Group Insurance","Navi General Insurance Ltd.",total,32
"Navi Health Group Personal Accident Insurance","Navi General Insurance Ltd.",2020,12
"Navi Health Group Personal Accident Insurance","Navi General Insurance Ltd.",2021,9
"Navi Health Group Personal Accident Insurance","Navi General Insurance Ltd.",2022,9
"Navi Health Group Personal Accident Insurance","Navi General Insurance Ltd.",total,30
"Navi Health Group Seasonal Byte","Navi General Insurance Ltd.",2020,13
"Navi Health Group Seasonal Byte","Navi General Insurance Ltd.",2021,16
"Navi Health Group Seasonal Byte","Navi General Insurance Ltd.",2022,16
"Navi Health Group Seasonal Byte","Navi General Insurance Ltd.",total,45
"Navi Health Group Travel Insurance","Navi General Insurance Ltd.",2020,6
"Navi Health Group Travel Insurance","Navi General Insurance Ltd.",2021,5
"Navi Health Group Travel Insurance","Navi General Insurance Ltd.",2022,14
"Navi Health Group Travel Insurance","Navi General Insurance Ltd.",total,25
"Navi Health HospiCash","Navi General Insurance Ltd.",2020,8
"Navi Health HospiCash","Navi General Insurance Ltd.",2021,8
"Navi Health HospiCash","Navi General Insurance Ltd.",2022,13
"Navi Health HospiCash","Navi General Insurance Ltd.",total,29
"Navi Health Seasonal Byte","Navi General Insurance Ltd.",2020,13
"Navi Health Seasonal Byte","Navi General Insurance Ltd.",2021,16
"Navi Health Seasonal Byte","Navi General Insurance Ltd.",2022,9
"Navi Health Seasonal Byte","Navi General Insurance Ltd.",total,38
"Navi Health Super Top Up","Navi General Insurance Ltd.",2020,13
"Navi Health Super Top Up","Navi General Insurance Ltd.",2021,10
"Navi Health Super Top Up","Navi General Insurance Ltd.",2022,13
"Navi Health Super Top Up","Navi General Insurance Ltd.",total,36
"Optima Restore","HDFC ERGO General Insurance Company Ltd.",2020,6
"Optima Restore","HDFC ERGO General Insurance Company Ltd.",2021,11
"Optima Restore","HDFC ERGO General Insurance Company Ltd.",2022,15
"Optima Restore","HDFC ERGO General Insurance Company Ltd.",total,32
"Optional travel insurance for E-ticket passengers","ICICI Lombard GI Co. Ltd.",2020,9
"Optional travel insurance for E-ticket passengers","ICICI Lombard GI Co. Ltd.",2021,3
"Optional travel insurance for E-ticket passengers","ICICI Lombard GI Co. Ltd.",2022,9
"Optional travel insurance for E-ticket passengers","ICICI Lombard GI Co. Ltd.",total,21
"Optional Travel Insurance for E-ticket passengers - IRCTC","Liberty General Insurance Ltd.",2020,12
"Optional Travel Insurance for E-ticket passengers - IRCTC","Liberty General Insurance Ltd.",2021,10
"Optional Travel Insurance for E-ticket passengers - IRCTC","Liberty General Insurance Ltd.",2022,6
"Optional Travel Insurance for E-ticket passengers - IRCTC","Liberty General Insurance Ltd.",total,28
"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC","SBI General Insurance Co.Ltd.",2020,13
"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC","SBI General Insurance Co.Ltd.",2021,8
"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC","SBI General Insurance Co.Ltd.",2022,6
"Optional Travel Insurance(GPA) for E-ticket Passengers of IRCTC","SBI General Insurance Co.Ltd.",total,27
"Oriental - Critical illness policy","The Oriental��Insurance Co. Limited",2020,16
"Oriental - Critical illness policy","The Oriental��Insurance Co. Limited",2021,5
"Oriental - Critical illness policy","The Oriental��Insurance Co. Limited",2022,12
"Oriental - Critical illness policy","The Oriental��Insurance Co. Limited",total,33
"Oriental Insurance Bank Saathi Policy- Group","The Oriental��Insurance Co. Limited",2020,9
"Oriental Insurance Bank Saathi Policy- Group","The Oriental��Insurance Co. Limited",2021,9
"Oriental Insurance Bank Saathi Policy- Group","The Oriental��Insurance Co. Limited",2022,13
"Oriental Insurance Bank Saathi Policy- Group","The Oriental��Insurance Co. Limited",total,31
"Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",2020,13
"Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",2021,12
"Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",2022,6
"Overseas Group Travel Insurance","ICICI Lombard GI Co. Ltd.",total,31
"Personal Care Insurance Policy","ICICI Lombard GI Co. Ltd.",2020,10
"Personal Care Insurance Policy","ICICI Lombard GI Co. Ltd.",2021,6
"Personal Care Insurance Policy","ICICI Lombard GI Co. Ltd.",2022,11
"Personal Care Insurance Policy","ICICI Lombard GI Co. Ltd.",total,27
"Personal Protect Policy","ICICI Lombard GI Co. Ltd.",2020,5
"Personal Protect Policy","ICICI Lombard GI Co. Ltd.",2021,9
"Personal Protect Policy","ICICI Lombard GI Co. Ltd.",2022,11
"Personal Protect Policy","ICICI Lombard GI Co. Ltd.",total,25
"Pravasi Bharatiya Bima Yojana Policy�","Bajaj Allianz General Insurance Co Ltd�",2020,9
"Pravasi Bharatiya Bima Yojana Policy�","Bajaj Allianz General Insurance Co Ltd�",2021,15
"Pravasi Bharatiya Bima Yojana Policy�","Bajaj Allianz General Insurance Co Ltd�",2022,12
"Pravasi Bharatiya Bima Yojana Policy�","Bajaj Allianz General Insurance Co Ltd�",total,36
"Pravasi Bhartiya Bima Yojana","ICICI Lombard GI Co. Ltd.",2020,10
"Pravasi Bhartiya Bima Yojana","ICICI Lombard GI Co. Ltd.",2021,7
"Pravasi Bhartiya Bima Yojana","ICICI Lombard GI Co. Ltd.",2022,7
"Pravasi Bhartiya Bima Yojana","ICICI Lombard GI Co. Ltd.",total,24
"Quick Health","Max Bupa Health Insurance Co. Ltd.",2020,9
"Quick Health","Max Bupa Health Insurance Co. Ltd.",2021,4
"Quick Health","Max Bupa Health Insurance Co. Ltd.",2022,7
"Quick Health","Max Bupa Health Insurance Co. Ltd.",total,20
"Rashtriya Swasthya Bima Yojana","ICICI Lombard GI Co. Ltd.",2020,7
"Rashtriya Swasthya Bima Yojana","ICICI Lombard GI Co. Ltd.",2021,6
"Rashtriya Swasthya Bima Yojana","ICICI Lombard GI Co. Ltd.",2022,9
"Rashtriya Swasthya Bima Yojana","ICICI Lombard GI Co. Ltd.",total,22
"Ride Safe Travel Insurance","ICICI Lombard GI Co. Ltd.",2020,10
"Ride Safe Travel Insurance","ICICI Lombard GI Co. Ltd.",2021,12
"Ride Safe Travel Insurance","ICICI Lombard GI Co. Ltd.",2022,10
"Ride Safe Travel Insurance","ICICI Lombard GI Co. Ltd.",total,32
"Saral Suraksha Bima","Acko General Insurance Ltd.�",2020,11
"Saral Suraksha Bima","Acko General Insurance Ltd.�",2021,13
"Saral Suraksha Bima","Acko General Insurance Ltd.�",2022,11
"Saral Suraksha Bima","Acko General Insurance Ltd.�",total,35
"Saral Suraksha Bima","Aditya Birla Health Insurance Co. Ltd",2020,9
"Saral Suraksha Bima","Aditya Birla Health Insurance Co. Ltd",2021,8
"Saral Suraksha Bima","Aditya Birla Health Insurance Co. Ltd",2022,10
"Saral Suraksha Bima","Aditya Birla Health Insurance Co. Ltd",total,27
"Saral Suraksha Bima","HDFC ERGO General Insurance Co. Ltd.�",2020,2
"Saral Suraksha Bima","HDFC ERGO General Insurance Co. Ltd.�",2021,8
"Saral Suraksha Bima","HDFC ERGO General Insurance Co. Ltd.�",2022,11
"Saral Suraksha Bima","HDFC ERGO General Insurance Co. Ltd.�",total,21
"Saral Suraksha Bima","Niva Bupa Health Insurance co ltd",2020,5
"Saral Suraksha Bima","Niva Bupa Health Insurance co ltd",2021,3
"Saral Suraksha Bima","Niva Bupa Health Insurance co ltd",2022,12
"Saral Suraksha Bima","Niva Bupa Health Insurance co ltd",total,20
"Saral Suraksha Bima","Star Health & Allied Insurance Co. Ltd.�",2020,11
"Saral Suraksha Bima","Star Health & Allied Insurance Co. Ltd.�",2021,9
"Saral Suraksha Bima","Star Health & Allied Insurance Co. Ltd.�",2022,9
"Saral Suraksha Bima","Star Health & Allied Insurance Co. Ltd.�",total,29
"Saral Suraksha Bima","Tata AIG General Insurance Co. Ltd.",2020,11
"Saral Suraksha Bima","Tata AIG General Insurance Co. Ltd.",2021,6
"Saral Suraksha Bima","Tata AIG General Insurance Co. Ltd.",2022,14
"Saral Suraksha Bima","Tata AIG General Insurance Co. Ltd.",total,31
"Saral Suraksha Bima","The New India Assurance Co.Ltd.�",2020,11
"Saral Suraksha Bima","The New India Assurance Co.Ltd.�",2021,8
"Saral Suraksha Bima","The New India Assurance Co.Ltd.�",2022,12
"Saral Suraksha Bima","The New India Assurance Co.Ltd.�",total,31
"Saral Suraksha Bima-Group","Cholamandalam MS General Insurance Co. Ltd.",2020,8
"Saral Suraksha Bima-Group","Cholamandalam MS General Insurance Co. Ltd.",2021,7
"Saral Suraksha Bima-Group","Cholamandalam MS General Insurance Co. Ltd.",2022,9
"Saral Suraksha Bima-Group","Cholamandalam MS General Insurance Co. Ltd.",total,24
"Sarv Suraksha Plus (Group)","HDFC ERGO General Insurance Co. Ltd.�",2020,7
"Sarv Suraksha Plus (Group)","HDFC ERGO General Insurance Co. Ltd.�",2021,9
"Sarv Suraksha Plus (Group)","HDFC ERGO General Insurance Co. Ltd.�",2022,13
"Sarv Suraksha Plus (Group)","HDFC ERGO General Insurance Co. Ltd.�",total,29
"Senior Citizens Red Carpet Health Insurance Policy�","Star Health & Allied Insurance Co. Ltd.�",2020,8
"Senior Citizens Red Carpet Health Insurance Policy�","Star Health & Allied Insurance Co. Ltd.�",2021,13
"Senior Citizens Red Carpet Health Insurance Policy�","Star Health & Allied Insurance Co. Ltd.�",2022,11
"Senior Citizens Red Carpet Health Insurance Policy�","Star Health & Allied Insurance Co. Ltd.�",total,32
"Silver Health","Bajaj Allianz General Insuarnce Co. Ltd",2020,9
"Silver Health","Bajaj Allianz General Insuarnce Co. Ltd",2021,11
"Silver Health","Bajaj Allianz General Insuarnce Co. Ltd",2022,15
"Silver Health","Bajaj Allianz General Insuarnce Co. Ltd",total,35
"Smart Health + (Add-On)","Niva Bupa Health Insurance Co. Ltd.",2020,13
"Smart Health + (Add-On)","Niva Bupa Health Insurance Co. Ltd.",2021,9
"Smart Health + (Add-On)","Niva Bupa Health Insurance Co. Ltd.",2022,11
"Smart Health + (Add-On)","Niva Bupa Health Insurance Co. Ltd.",total,33
"Star Cancer Care Platinum Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,7
"Star Cancer Care Platinum Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2021,12
"Star Cancer Care Platinum Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2022,10
"Star Cancer Care Platinum Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",total,29
"Star Cardiac Care Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,10
"Star Cardiac Care Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2021,11
"Star Cardiac Care Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2022,12
"Star Cardiac Care Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",total,33
"Star Cardiac Care Insurance Policy- Platinum","Star Health & Allied Insurance Co. Ltd.�",2020,8
"Star Cardiac Care Insurance Policy- Platinum","Star Health & Allied Insurance Co. Ltd.�",2021,7
"Star Cardiac Care Insurance Policy- Platinum","Star Health & Allied Insurance Co. Ltd.�",2022,11
"Star Cardiac Care Insurance Policy- Platinum","Star Health & Allied Insurance Co. Ltd.�",total,26
"Star Comprehensive Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,9
"Star Comprehensive Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2021,10
"Star Comprehensive Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2022,10
"Star Comprehensive Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",total,29
"Star Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",2020,10
"Star Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",2021,12
"Star Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",2022,12
"Star Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",total,34
"Star Group Covid Insurance Policy","Star Health and Allied Insurrance Co.",2020,7
"Star Group Covid Insurance Policy","Star Health and Allied Insurrance Co.",2021,9
"Star Group Covid Insurance Policy","Star Health and Allied Insurrance Co.",2022,11
"Star Group Covid Insurance Policy","Star Health and Allied Insurrance Co.",total,27
"Star Group Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",2020,14
"Star Group Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",2021,19
"Star Group Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",2022,19
"Star Group Critical Illness Multipay Insurance Policy","Star Health and Allied Insurrance Co.",total,52
"Star Group Health Insurance Policy � Gold (For Bank Customers)","Star Health and Allied Insurrance Co. Ltd.",2020,8
"Star Group Health Insurance Policy � Gold (For Bank Customers)","Star Health and Allied Insurrance Co. Ltd.",2021,10
"Star Group Health Insurance Policy � Gold (For Bank Customers)","Star Health and Allied Insurrance Co. Ltd.",2022,7
"Star Group Health Insurance Policy � Gold (For Bank Customers)","Star Health and Allied Insurrance Co. Ltd.",total,25
"Star Micro Rural and Farmers Care","Star Health & Allied Insurance Co. Ltd.�",2020,8
"Star Micro Rural and Farmers Care","Star Health & Allied Insurance Co. Ltd.�",2021,6
"Star Micro Rural and Farmers Care","Star Health & Allied Insurance Co. Ltd.�",2022,5
"Star Micro Rural and Farmers Care","Star Health & Allied Insurance Co. Ltd.�",total,19
"Star Super Surplus (Floater) Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,11
"Star Super Surplus (Floater) Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2021,11
"Star Super Surplus (Floater) Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2022,9
"Star Super Surplus (Floater) Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",total,31
"Star Super Surplus Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,4
"Star Super Surplus Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2021,5
"Star Super Surplus Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2022,12
"Star Super Surplus Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",total,21
"Student Suraksha- Student Overseas Travel","HDFC ERGO General Insurance Co. Ltd.�",2020,9
"Student Suraksha- Student Overseas Travel","HDFC ERGO General Insurance Co. Ltd.�",2021,8
"Student Suraksha- Student Overseas Travel","HDFC ERGO General Insurance Co. Ltd.�",2022,11
"Student Suraksha- Student Overseas Travel","HDFC ERGO General Insurance Co. Ltd.�",total,28
"Sukshma Hospi-Cash (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",2020,7
"Sukshma Hospi-Cash (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",2021,12
"Sukshma Hospi-Cash (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",2022,8
"Sukshma Hospi-Cash (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",total,27
"Sukshma Hospi-Cash Group (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",2020,6
"Sukshma Hospi-Cash Group (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",2021,17
"Sukshma Hospi-Cash Group (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",2022,10
"Sukshma Hospi-Cash Group (Micro-Insurance Product)","Future Generali India Insurance Co. Ltd.",total,33
"Super No Claim Bonus Rider","Aditya Birla Health Insurance Co. Ltd",2020,12
"Super No Claim Bonus Rider","Aditya Birla Health Insurance Co. Ltd",2021,5
"Super No Claim Bonus Rider","Aditya Birla Health Insurance Co. Ltd",2022,9
"Super No Claim Bonus Rider","Aditya Birla Health Insurance Co. Ltd",total,26
"Super reload Rider","Aditya Birla Health Insurance Co. Ltd",2020,5
"Super reload Rider","Aditya Birla Health Insurance Co. Ltd",2021,8
"Super reload Rider","Aditya Birla Health Insurance Co. Ltd",2022,12
"Super reload Rider","Aditya Birla Health Insurance Co. Ltd",total,25
"Super Top-up Medicare Policy","United India Insurance Co. Ltd.",2020,12
"Super Top-up Medicare Policy","United India Insurance Co. Ltd.",2021,12
"Super Top-up Medicare Policy","United India Insurance Co. Ltd.",2022,9
"Super Top-up Medicare Policy","United India Insurance Co. Ltd.",total,33
"Surakshit Loan Bima","Future Generali India Insurance Co. Ltd.",2020,6
"Surakshit Loan Bima","Future Generali India Insurance Co. Ltd.",2021,3
"Surakshit Loan Bima","Future Generali India Insurance Co. Ltd.",2022,4
"Surakshit Loan Bima","Future Generali India Insurance Co. Ltd.",total,13
"Swasthya Suraksha","Niva Bupa Health Insurance co ltd",2020,8
"Swasthya Suraksha","Niva Bupa Health Insurance co ltd",2021,11
"Swasthya Suraksha","Niva Bupa Health Insurance co ltd",2022,9
"Swasthya Suraksha","Niva Bupa Health Insurance co ltd",total,28
"Tata AIG Criti- Medicare","Tata AIG General Insuarnce Co Ltd",2020,15
"Tata AIG Criti- Medicare","Tata AIG General Insuarnce Co Ltd",2021,10
"Tata AIG Criti- Medicare","Tata AIG General Insuarnce Co Ltd",2022,6
"Tata AIG Criti- Medicare","Tata AIG General Insuarnce Co Ltd",total,31
"Tele OPD Consultation Rider","Aditya Birla Health Insurance Co. Ltd",2020,8
"Tele OPD Consultation Rider","Aditya Birla Health Insurance Co. Ltd",2021,10
"Tele OPD Consultation Rider","Aditya Birla Health Insurance Co. Ltd",2022,12
"Tele OPD Consultation Rider","Aditya Birla Health Insurance Co. Ltd",total,30
"Travel Assist Card�","Bajaj Allianz General Insurance Co Ltd�",2020,9
"Travel Assist Card�","Bajaj Allianz General Insurance Co Ltd�",2021,10
"Travel Assist Card�","Bajaj Allianz General Insurance Co Ltd�",2022,12
"Travel Assist Card�","Bajaj Allianz General Insurance Co Ltd�",total,31
"Travel Companion","Bajaj Allianz General Insurance Co Ltd�",2020,7
"Travel Companion","Bajaj Allianz General Insurance Co Ltd�",2021,7
"Travel Companion","Bajaj Allianz General Insurance Co Ltd�",2022,8
"Travel Companion","Bajaj Allianz General Insurance Co Ltd�",total,22
"Travel Corona Protect- International (Group)","Bajaj Allianz General Insuarnce Co. Ltd",2020,11
"Travel Corona Protect- International (Group)","Bajaj Allianz General Insuarnce Co. Ltd",2021,5
"Travel Corona Protect- International (Group)","Bajaj Allianz General Insuarnce Co. Ltd",2022,10
"Travel Corona Protect- International (Group)","Bajaj Allianz General Insuarnce Co. Ltd",total,26
"Travel Elect (Group)","Bajaj Allianz General Insurance Co Ltd�",2020,9
"Travel Elect (Group)","Bajaj Allianz General Insurance Co Ltd�",2021,11
"Travel Elect (Group)","Bajaj Allianz General Insurance Co Ltd�",2022,11
"Travel Elect (Group)","Bajaj Allianz General Insurance Co Ltd�",total,31
"Travel Insurance for E- ticket Passengers-For(IRCTC)","Bajaj Allianz General Insurance Co Ltd�",2020,7
"Travel Insurance for E- ticket Passengers-For(IRCTC)","Bajaj Allianz General Insurance Co Ltd�",2021,13
"Travel Insurance for E- ticket Passengers-For(IRCTC)","Bajaj Allianz General Insurance Co Ltd�",2022,12
"Travel Insurance for E- ticket Passengers-For(IRCTC)","Bajaj Allianz General Insurance Co Ltd�",total,32
"Travel Insurance�","HDFC ERGO General Insurance Co. Ltd.�",2020,9
"Travel Insurance�","HDFC ERGO General Insurance Co. Ltd.�",2021,11
"Travel Insurance�","HDFC ERGO General Insurance Co. Ltd.�",2022,10
"Travel Insurance�","HDFC ERGO General Insurance Co. Ltd.�",total,30
"Travel Prime Holiday Insurance Policy (Group)","Bajaj Allianz General Insurance Co Ltd�",2020,6
"Travel Prime Holiday Insurance Policy (Group)","Bajaj Allianz General Insurance Co Ltd�",2021,9
"Travel Prime Holiday Insurance Policy (Group)","Bajaj Allianz General Insurance Co Ltd�",2022,5
"Travel Prime Holiday Insurance Policy (Group)","Bajaj Allianz General Insurance Co Ltd�",total,20
"Travel Prime Policy","Bajaj Allianz General Insurance Co Ltd�",2020,8
"Travel Prime Policy","Bajaj Allianz General Insurance Co Ltd�",2021,8
"Travel Prime Policy","Bajaj Allianz General Insurance Co Ltd�",2022,7
"Travel Prime Policy","Bajaj Allianz General Insurance Co Ltd�",total,23
TravelAssure,"Niva Bupa Health Insurance co ltd",2020,9
TravelAssure,"Niva Bupa Health Insurance co ltd",2021,5
TravelAssure,"Niva Bupa Health Insurance co ltd",2022,8
TravelAssure,"Niva Bupa Health Insurance co ltd",total,22
Travelsure(Group),"HDFC ERGO General Insurance company Ltd�",2020,5
Travelsure(Group),"HDFC ERGO General Insurance company Ltd�",2021,9
Travelsure(Group),"HDFC ERGO General Insurance company Ltd�",2022,9
Travelsure(Group),"HDFC ERGO General Insurance company Ltd�",total,23
"UB Arogyadaan","United India Insurance Co.Ltd.",2020,7
"UB Arogyadaan","United India Insurance Co.Ltd.",2021,8
"UB Arogyadaan","United India Insurance Co.Ltd.",2022,11
"UB Arogyadaan","United India Insurance Co.Ltd.",total,26
"Unlimited Restore (Add On )","HDFC ERGO General Insurance Company Ltd.",2020,8
"Unlimited Restore (Add On )","HDFC ERGO General Insurance Company Ltd.",2021,9
"Unlimited Restore (Add On )","HDFC ERGO General Insurance Company Ltd.",2022,9
"Unlimited Restore (Add On )","HDFC ERGO General Insurance Company Ltd.",total,26
"Voyager Travel Insurance (Group)","ICICI Lombard GI Co. Ltd.",2020,9
"Voyager Travel Insurance (Group)","ICICI Lombard GI Co. Ltd.",2021,14
"Voyager Travel Insurance (Group)","ICICI Lombard GI Co. Ltd.",2022,13
"Voyager Travel Insurance (Group)","ICICI Lombard GI Co. Ltd.",total,36
"Wellness Addon","Iffco Tokio General Insurance Company Ltd.",2020,7
"Wellness Addon","Iffco Tokio General Insurance Company Ltd.",2021,8
"Wellness Addon","Iffco Tokio General Insurance Company Ltd.",2022,10
"Wellness Addon","Iffco Tokio General Insurance Company Ltd.",total,25
"Welness Benefit Addon(Group)","Iffco Tokio General Insurance Company Ltd.",2020,9
"Welness Benefit Addon(Group)","Iffco Tokio General Insurance Company Ltd.",2021,6
"Welness Benefit Addon(Group)","Iffco Tokio General Insurance Company Ltd.",2022,10
"Welness Benefit Addon(Group)","Iffco Tokio General Insurance Company Ltd.",total,25
"Young Star Insurance Policy","Star Health & Allied Insurance Co. Ltd.�",2020,11
