pharmacyName,"coalesce(DiseaseName, 'Total')",Prescription_Count
"Eastside Pharmacy and Compounding","Dilated cardiomyopathy",1
"Eastside Pharmacy and Compounding","Low back pain",1
"Eastside Pharmacy and Compounding","Rheumatoid arthritis",1
"Eastside Pharmacy and Compounding","Alzheimer's disease",1
"Eastside Pharmacy and Compounding",Schizophrenia,1
"Eastside Pharmacy and Compounding","Diabetes mellitus type 2",1
"Eastside Pharmacy and Compounding","Amyotrophic lateral sclerosis",1
"Envolve Health",Total,14
"Envolve Health","Amyotrophic lateral sclerosis",2
"Envolve Health",Vasculitis,2
"Envolve Health","Attention deficit hyperactivity disorder",1
"Envolve Health","Autoimmune diseases",1
"Envolve Health",Cancer,1
"Envolve Health","Crohn's disease",1
"Envolve Health",Depression,1
"Envolve Health","Irritable bowel syndrome",1
"Envolve Health","Metabolic syndrome",1
"Envolve Health","Panic disorder",1
"Envolve Health","Thromboangiitis obliterans",1
"Envolve Health","Diabetes mellitus type 1",1
"Essential Pharmacy",Total,21
"Essential Pharmacy","Irritable bowel syndrome",3
"Essential Pharmacy","Amyotrophic lateral sclerosis",2
"Essential Pharmacy","Metabolic syndrome",2
"Essential Pharmacy",Atherosclerosis,2
"Essential Pharmacy",Autism,2
"Essential Pharmacy","Anxiety disorder",1
"Essential Pharmacy","Chronic obstructive pulmonary disease",1
"Essential Pharmacy","Coronary heart disease",1
"Essential Pharmacy",Depression,1
"Essential Pharmacy","Diabetes mellitus type 1",1
"Essential Pharmacy","Low back pain",1
"Essential Pharmacy","Multiple sclerosis",1
"Essential Pharmacy","Obsessive–compulsive disorder",1
"Essential Pharmacy",Schizophrenia,1
"Essential Pharmacy","Alzheimer's disease",1
"Essura Pharmacy",Total,13
"Essura Pharmacy","Anorexia nervosa",3
"Essura Pharmacy","Autoimmune diseases",2
"Essura Pharmacy",Asthma,1
"Essura Pharmacy",Autism,1
"Essura Pharmacy",Depression,1
"Essura Pharmacy","Diabetes mellitus type 2",1
"Essura Pharmacy","Guillain–Barré syndrome",1
"Essura Pharmacy","Obsessive–compulsive disorder",1
"Essura Pharmacy","Parkinson's disease",1
"Essura Pharmacy",Vasculitis,1
"Everyday Drugs",Total,22
"Everyday Drugs","Chronic fatigue syndrome",3
"Everyday Drugs",Asthma,2
"Everyday Drugs","Alzheimer's disease",1
"Everyday Drugs","Anxiety disorder",1
"Everyday Drugs",Atherosclerosis,1
"Everyday Drugs","Attention deficit hyperactivity disorder",1
"Everyday Drugs","Coronary heart disease",1
"Everyday Drugs","Crohn's disease",1
"Everyday Drugs",Dementia,1
"Everyday Drugs","Diabetes mellitus type 1",1
"Everyday Drugs","Low back pain",1
"Everyday Drugs",Lupus,1
"Everyday Drugs","Multiple sclerosis",1
"Everyday Drugs","Myocardial infarction",1
"Everyday Drugs",Obesity,1
"Everyday Drugs",Psoriasis,1
"Everyday Drugs","Rheumatoid arthritis",1
"Everyday Drugs",Schizophrenia,1
"Everyday Drugs",Stroke,1
"Express Food & Pharmacy",Total,11
"Express Food & Pharmacy","Anxiety disorder",1
"Express Food & Pharmacy","Bipolar disorder",1
"Express Food & Pharmacy","Chronic obstructive pulmonary disease",1
"Express Food & Pharmacy","Crohn's disease",1
"Express Food & Pharmacy","Low back pain",1
"Express Food & Pharmacy",Obesity,1
"Express Food & Pharmacy","Obsessive–compulsive disorder",1
"Express Food & Pharmacy",Psoriasis,1
"Express Food & Pharmacy","Thromboangiitis obliterans",1
"Express Food & Pharmacy",Vasculitis,1
"Express Food & Pharmacy","Alzheimer's disease",1
"Express Scripts",Total,23
"Express Scripts",Autism,3
"Express Scripts","Chronic fatigue syndrome",2
"Express Scripts","Metabolic syndrome",2
"Express Scripts","Myocardial infarction",2
"Express Scripts","Amyotrophic lateral sclerosis",1
"Express Scripts","Anxiety disorder",1
"Express Scripts",Atherosclerosis,1
"Express Scripts","Attention deficit hyperactivity disorder",1
"Express Scripts","Chronic obstructive pulmonary disease",1
"Express Scripts","Diabetes mellitus type 2",1
"Express Scripts","Dilated cardiomyopathy",1
"Express Scripts",Epilepsy,1
"Express Scripts",Obesity,1
"Express Scripts","Panic disorder",1
"Express Scripts",Schizophrenia,1
"Express Scripts","Thromboangiitis obliterans",1
"Express Scripts","Tourette syndrome",1
"Express Scripts",Vasculitis,1
"Family Drug Mart",Total,18
"Family Drug Mart","Autoimmune diseases",2
"Family Drug Mart","Anorexia nervosa",2
"Family Drug Mart",Cancer,1
"Family Drug Mart","Chronic obstructive pulmonary disease",1
"Family Drug Mart","Diabetes mellitus type 1",1
"Family Drug Mart","Diabetes mellitus type 2",1
"Family Drug Mart","Dilated cardiomyopathy",1
"Family Drug Mart",Epilepsy,1
"Family Drug Mart","Irritable bowel syndrome",1
"Family Drug Mart","Low back pain",1
"Family Drug Mart","Multiple sclerosis",1
"Family Drug Mart",Obesity,1
"Family Drug Mart","Obsessive–compulsive disorder",1
"Family Drug Mart","Panic disorder",1
"Family Drug Mart","Rheumatoid arthritis",1
"Family Drug Mart","Alzheimer's disease",1
"Family Fare",Total,18
"Family Fare","Parkinson's disease",2
"Family Fare","Rheumatoid arthritis",2
"Family Fare",Autism,1
"Family Fare","Bipolar disorder",1
"Family Fare",Cancer,1
"Family Fare","Chronic fatigue syndrome",1
"Family Fare","Chronic obstructive pulmonary disease",1
"Family Fare","Attention deficit hyperactivity disorder",1
"Family Fare",Dementia,1
"Family Fare","Diabetes mellitus type 1",1
"Family Fare",Lupus,1
"Family Fare","Metabolic syndrome",1
"Family Fare","Multiple sclerosis",1
"Family Fare","Crohn's disease",1
"Family Fare",Stroke,1
"Family Fare","Thromboangiitis obliterans",1
"First Care Rx",Total,12
"First Care Rx","Panic disorder",3
"First Care Rx","Chronic obstructive pulmonary disease",2
"First Care Rx","Anorexia nervosa",1
"First Care Rx","Autoimmune diseases",1
"First Care Rx",Cancer,1
"First Care Rx","Coronary heart disease",1
"First Care Rx","Diabetes mellitus type 1",1
"First Care Rx","Irritable bowel syndrome",1
"First Care Rx","Tourette syndrome",1
"First Hill Pharmacy",Total,19
"First Hill Pharmacy","Diabetes mellitus type 2",2
"First Hill Pharmacy","Parkinson's disease",2
"First Hill Pharmacy","Rheumatoid arthritis",2
"First Hill Pharmacy","Thromboangiitis obliterans",2
"First Hill Pharmacy","Coronary heart disease",1
"First Hill Pharmacy",Depression,1
"First Hill Pharmacy","Diabetes mellitus type 1",1
"First Hill Pharmacy","Anorexia nervosa",1
"First Hill Pharmacy","Dilated cardiomyopathy",1
"First Hill Pharmacy",Epilepsy,1
"First Hill Pharmacy","Myocardial infarction",1
"First Hill Pharmacy","Anxiety disorder",1
"First Hill Pharmacy","Autoimmune diseases",1
"First Hill Pharmacy","Bipolar disorder",1
"First Hill Pharmacy",Cancer,1
"First Pharmacy",Total,13
"First Pharmacy",Epilepsy,3
"First Pharmacy","Crohn's disease",2
"First Pharmacy",Sarcoidosis,2
"First Pharmacy",Schizophrenia,2
"First Pharmacy",Atherosclerosis,1
"First Pharmacy","Attention deficit hyperactivity disorder",1
"First Pharmacy","Coronary heart disease",1
"First Pharmacy",Dementia,1
"Fisher Pharmacy & Gifts",Total,15
"Fisher Pharmacy & Gifts","Multiple sclerosis",2
"Fisher Pharmacy & Gifts",Vasculitis,2
"Fisher Pharmacy & Gifts","Crohn's disease",1
"Fisher Pharmacy & Gifts","Dilated cardiomyopathy",1
"Fisher Pharmacy & Gifts","Irritable bowel syndrome",1
"Fisher Pharmacy & Gifts","Low back pain",1
"Fisher Pharmacy & Gifts","Anxiety disorder",1
"Fisher Pharmacy & Gifts",Obesity,1
"Fisher Pharmacy & Gifts","Panic disorder",1
"Fisher Pharmacy & Gifts","Parkinson's disease",1
"Fisher Pharmacy & Gifts",Schizophrenia,1
"Fisher Pharmacy & Gifts",Atherosclerosis,1
"Fisher Pharmacy & Gifts","Coronary heart disease",1
"Foundation Care",Total,16
"Foundation Care","Myocardial infarction",3
"Foundation Care","Alzheimer's disease",1
"Foundation Care","Amyotrophic lateral sclerosis",1
"Foundation Care","Attention deficit hyperactivity disorder",1
"Foundation Care","Bipolar disorder",1
"Foundation Care","Chronic fatigue syndrome",1
"Foundation Care","Coronary heart disease",1
"Foundation Care","Crohn's disease",1
"Foundation Care",Epilepsy,1
"Foundation Care","Low back pain",1
"Foundation Care","Metabolic syndrome",1
"Foundation Care","Panic disorder",1
"Foundation Care",Sarcoidosis,1
"Foundation Care",Stroke,1
"Friends & Family Pharmacy",Total,14
"Friends & Family Pharmacy","Amyotrophic lateral sclerosis",2
"Friends & Family Pharmacy","Thromboangiitis obliterans",2
"Friends & Family Pharmacy",Asthma,1
"Friends & Family Pharmacy","Attention deficit hyperactivity disorder",1
"Friends & Family Pharmacy","Bipolar disorder",1
"Friends & Family Pharmacy","Chronic obstructive pulmonary disease",1
"Friends & Family Pharmacy","Metabolic syndrome",1
"Friends & Family Pharmacy","Obsessive–compulsive disorder",1
"Friends & Family Pharmacy","Rheumatoid arthritis",1
"Friends & Family Pharmacy",Stroke,1
"Friends & Family Pharmacy","Chronic fatigue syndrome",1
"Friends & Family Pharmacy","Anorexia nervosa",1
"Frost Medical Pharmacy",Total,23
"Frost Medical Pharmacy","Alzheimer's disease",3
"Frost Medical Pharmacy","Panic disorder",2
"Frost Medical Pharmacy","Amyotrophic lateral sclerosis",1
"Frost Medical Pharmacy","Anorexia nervosa",1
"Frost Medical Pharmacy",Atherosclerosis,1
"Frost Medical Pharmacy","Attention deficit hyperactivity disorder",1
"Frost Medical Pharmacy",Autism,1
"Frost Medical Pharmacy","Chronic fatigue syndrome",1
"Frost Medical Pharmacy","Coronary heart disease",1
"Frost Medical Pharmacy",Dementia,1
"Frost Medical Pharmacy","Diabetes mellitus type 1",1
"Frost Medical Pharmacy","Diabetes mellitus type 2",1
"Frost Medical Pharmacy","Guillain–Barré syndrome",1
"Frost Medical Pharmacy",Lupus,1
"Frost Medical Pharmacy","Metabolic syndrome",1
"Frost Medical Pharmacy","Myocardial infarction",1
"Frost Medical Pharmacy","Parkinson's disease",1
"Frost Medical Pharmacy",Psoriasis,1
"Frost Medical Pharmacy","Rheumatoid arthritis",1
"Frost Medical Pharmacy","Tourette syndrome",1
"Fry’s Pharmacy",Total,22
"Fry’s Pharmacy",Vasculitis,4
"Fry’s Pharmacy","Chronic fatigue syndrome",2
"Fry’s Pharmacy","Irritable bowel syndrome",2
"Fry’s Pharmacy",Depression,1
"Fry’s Pharmacy","Diabetes mellitus type 2",1
"Fry’s Pharmacy","Dilated cardiomyopathy",1
"Fry’s Pharmacy","Guillain–Barré syndrome",1
"Fry’s Pharmacy","Low back pain",1
"Fry’s Pharmacy",Lupus,1
"Fry’s Pharmacy","Metabolic syndrome",1
"Fry’s Pharmacy","Myocardial infarction",1
"Fry’s Pharmacy","Parkinson's disease",1
"Fry’s Pharmacy",Psoriasis,1
"Fry’s Pharmacy",Sarcoidosis,1
"Fry’s Pharmacy",Stroke,1
"Fry’s Pharmacy","Autoimmune diseases",1
"Fry’s Pharmacy",Cancer,1
"Gateway Medical",Total,15
"Gateway Medical","Metabolic syndrome",2
"Gateway Medical","Bipolar disorder",2
"Gateway Medical","Diabetes mellitus type 1",2
"Gateway Medical","Autoimmune diseases",1
"Gateway Medical","Coronary heart disease",1
"Gateway Medical","Crohn's disease",1
"Gateway Medical",Epilepsy,1
"Gateway Medical",Autism,1
"Gateway Medical","Multiple sclerosis",1
"Gateway Medical","Obsessive–compulsive disorder",1
"Gateway Medical",Sarcoidosis,1
"Gateway Medical","Tourette syndrome",1
"Gem Drugs",Total,28
"Gem Drugs","Alzheimer's disease",2
"Gem Drugs","Crohn's disease",2
"Gem Drugs","Anxiety disorder",1
"Gem Drugs",Asthma,1
"Gem Drugs","Attention deficit hyperactivity disorder",1
"Gem Drugs",Autism,1
"Gem Drugs","Chronic obstructive pulmonary disease",1
"Gem Drugs","Coronary heart disease",1
"Gem Drugs","Diabetes mellitus type 1",1
"Gem Drugs","Diabetes mellitus type 2",1
"Gem Drugs","Low back pain",1
"Gem Drugs","Metabolic syndrome",1
"Gem Drugs","Multiple sclerosis",1
"Gem Drugs","Myocardial infarction",1
"Gem Drugs",Obesity,1
"Gem Drugs","Obsessive–compulsive disorder",1
"Gem Drugs","Panic disorder",1
"Gem Drugs","Parkinson's disease",1
"Gem Drugs",Psoriasis,1
"Gem Drugs","Rheumatoid arthritis",1
"Gem Drugs",Sarcoidosis,1
"Gem Drugs",Schizophrenia,1
"Gem Drugs",Stroke,1
"Gem Drugs","Thromboangiitis obliterans",1
"Gem Drugs","Tourette syndrome",1
"Gem Drugs","Anorexia nervosa",1
"Geneva Woods",Total,19
"Geneva Woods","Bipolar disorder",2
"Geneva Woods","Diabetes mellitus type 1",2
"Geneva Woods",Epilepsy,2
"Geneva Woods","Multiple sclerosis",2
"Geneva Woods","Autoimmune diseases",1
"Geneva Woods","Chronic fatigue syndrome",1
"Geneva Woods","Guillain–Barré syndrome",1
"Geneva Woods","Low back pain",1
"Geneva Woods","Metabolic syndrome",1
"Geneva Woods","Obsessive–compulsive disorder",1
"Geneva Woods","Panic disorder",1
"Geneva Woods",Psoriasis,1
"Geneva Woods",Schizophrenia,1
"Geneva Woods","Thromboangiitis obliterans",1
"Geneva Woods",Vasculitis,1
GenScripts,Total,19
GenScripts,"Anorexia nervosa",2
GenScripts,"Bipolar disorder",2
GenScripts,"Guillain–Barré syndrome",2
GenScripts,Stroke,2
GenScripts,"Crohn's disease",1
GenScripts,"Diabetes mellitus type 1",1
GenScripts,Lupus,1
GenScripts,"Metabolic syndrome",1
GenScripts,Obesity,1
GenScripts,"Panic disorder",1
GenScripts,"Rheumatoid arthritis",1
GenScripts,Schizophrenia,1
GenScripts,Atherosclerosis,1
GenScripts,"Thromboangiitis obliterans",1
GenScripts,"Autoimmune diseases",1
"Globe Pharmacy",Total,14
"Globe Pharmacy","Diabetes mellitus type 2",2
"Globe Pharmacy",Sarcoidosis,2
"Globe Pharmacy","Anxiety disorder",1
"Globe Pharmacy","Attention deficit hyperactivity disorder",1
"Globe Pharmacy",Cancer,1
"Globe Pharmacy","Chronic obstructive pulmonary disease",1
"Globe Pharmacy","Crohn's disease",1
"Globe Pharmacy","Diabetes mellitus type 1",1
"Globe Pharmacy","Amyotrophic lateral sclerosis",1
"Globe Pharmacy","Myocardial infarction",1
"Globe Pharmacy","Obsessive–compulsive disorder",1
"Globe Pharmacy",Psoriasis,1
"GoGo Meds",Total,12
"GoGo Meds","Dilated cardiomyopathy",2
"GoGo Meds","Amyotrophic lateral sclerosis",1
"GoGo Meds","Diabetes mellitus type 2",1
"GoGo Meds","Guillain–Barré syndrome",1
"GoGo Meds","Low back pain",1
"GoGo Meds","Multiple sclerosis",1
"GoGo Meds",Obesity,1
"GoGo Meds","Obsessive–compulsive disorder",1
"GoGo Meds","Panic disorder",1
"GoGo Meds",Sarcoidosis,1
"GoGo Meds","Tourette syndrome",1
"Good Life Rx",Total,14
"Good Life Rx","Diabetes mellitus type 1",2
"Good Life Rx","Attention deficit hyperactivity disorder",1
"Good Life Rx","Autoimmune diseases",1
"Good Life Rx","Chronic obstructive pulmonary disease",1
"Good Life Rx",Dementia,1
"Good Life Rx","Alzheimer's disease",1
"Good Life Rx","Low back pain",1
"Good Life Rx","Obsessive–compulsive disorder",1
"Good Life Rx","Panic disorder",1
"Good Life Rx","Parkinson's disease",1
"Good Life Rx",Psoriasis,1
"Good Life Rx",Sarcoidosis,1
"Good Life Rx","Anorexia nervosa",1
"Good Neighbor Pharmacy",Total,19
"Good Neighbor Pharmacy","Low back pain",3
"Good Neighbor Pharmacy","Anorexia nervosa",2
"Good Neighbor Pharmacy","Rheumatoid arthritis",2
"Good Neighbor Pharmacy","Metabolic syndrome",2
"Good Neighbor Pharmacy","Attention deficit hyperactivity disorder",1
"Good Neighbor Pharmacy",Cancer,1
"Good Neighbor Pharmacy","Coronary heart disease",1
"Good Neighbor Pharmacy","Diabetes mellitus type 1",1
"Good Neighbor Pharmacy","Diabetes mellitus type 2",1
"Good Neighbor Pharmacy","Multiple sclerosis",1
"Good Neighbor Pharmacy",Psoriasis,1
"Good Neighbor Pharmacy",Depression,1
"Good Neighbor Pharmacy",Sarcoidosis,1
"Good Neighbor Pharmacy","Tourette syndrome",1
"Good RX",Total,39
"Good RX",Sarcoidosis,3
"Good RX",Cancer,3
"Good RX","Dilated cardiomyopathy",3
"Good RX","Amyotrophic lateral sclerosis",2
"Good RX",Lupus,2
"Good RX",Stroke,2
"Good RX","Autoimmune diseases",2
"Good RX","Bipolar disorder",2
"Good RX","Chronic fatigue syndrome",2
"Good RX","Chronic obstructive pulmonary disease",2
"Good RX",Dementia,2
"Good RX","Anxiety disorder",1
"Good RX",Asthma,1
"Good RX","Diabetes mellitus type 2",1
"Good RX","Crohn's disease",1
"Good RX","Guillain–Barré syndrome",1
"Good RX","Low back pain",1
"Good RX",Depression,1
"Good RX","Obsessive–compulsive disorder",1
"Good RX","Parkinson's disease",1
"Good RX","Rheumatoid arthritis",1
"Good RX","Attention deficit hyperactivity disorder",1
"Good RX",Schizophrenia,1
"Good RX","Diabetes mellitus type 1",1
"Good RX",Atherosclerosis,1
Goodness,Total,23
Goodness,Cancer,2
Goodness,"Dilated cardiomyopathy",2
Goodness,"Irritable bowel syndrome",2
Goodness,"Low back pain",2
Goodness,Obesity,2
Goodness,"Tourette syndrome",2
Goodness,"Anorexia nervosa",1
Goodness,"Coronary heart disease",1
Goodness,"Metabolic syndrome",1
Goodness,"Myocardial infarction",1
Goodness,"Crohn's disease",1
Goodness,"Obsessive–compulsive disorder",1
Goodness,"Rheumatoid arthritis",1
Goodness,Stroke,1
Goodness,"Diabetes mellitus type 2",1
Goodness,Vasculitis,1
Goodness,"Amyotrophic lateral sclerosis",1
Goodstart,Total,16
Goodstart,Atherosclerosis,2
Goodstart,Dementia,2
Goodstart,"Crohn's disease",1
Goodstart,"Anorexia nervosa",1
Goodstart,"Dilated cardiomyopathy",1
Goodstart,Lupus,1
Goodstart,"Parkinson's disease",1
Goodstart,Psoriasis,1
Goodstart,"Rheumatoid arthritis",1
Goodstart,Schizophrenia,1
Goodstart,"Thromboangiitis obliterans",1
Goodstart,"Tourette syndrome",1
Goodstart,Vasculitis,1
Goodstart,"Coronary heart disease",1
"Grand Medicine",Total,16
"Grand Medicine",Obesity,2
"Grand Medicine","Thromboangiitis obliterans",2
"Grand Medicine","Alzheimer's disease",1
"Grand Medicine","Anxiety disorder",1
"Grand Medicine",Dementia,1
"Grand Medicine","Diabetes mellitus type 1",1
"Grand Medicine","Diabetes mellitus type 2",1
"Grand Medicine","Dilated cardiomyopathy",1
"Grand Medicine",Epilepsy,1
"Grand Medicine","Irritable bowel syndrome",1
"Grand Medicine","Low back pain",1
"Grand Medicine",Lupus,1
"Grand Medicine","Metabolic syndrome",1
"Grand Medicine","Myocardial infarction",1
"Greensburg Family Pharmacy",Total,15
"Greensburg Family Pharmacy",Atherosclerosis,2
"Greensburg Family Pharmacy","Attention deficit hyperactivity disorder",2
"Greensburg Family Pharmacy",Asthma,1
"Greensburg Family Pharmacy","Autoimmune diseases",1
"Greensburg Family Pharmacy",Dementia,1
"Greensburg Family Pharmacy","Diabetes mellitus type 2",1
"Greensburg Family Pharmacy","Dilated cardiomyopathy",1
"Greensburg Family Pharmacy","Low back pain",1
"Greensburg Family Pharmacy",Obesity,1
"Greensburg Family Pharmacy","Obsessive–compulsive disorder",1
"Greensburg Family Pharmacy","Parkinson's disease",1
"Greensburg Family Pharmacy",Sarcoidosis,1
"Greensburg Family Pharmacy","Alzheimer's disease",1
"Guardian Pharmacy",Total,14
"Guardian Pharmacy","Attention deficit hyperactivity disorder",2
"Guardian Pharmacy",Epilepsy,2
"Guardian Pharmacy","Anxiety disorder",1
"Guardian Pharmacy",Autism,1
"Guardian Pharmacy","Autoimmune diseases",1
"Guardian Pharmacy",Cancer,1
"Guardian Pharmacy","Alzheimer's disease",1
"Guardian Pharmacy","Diabetes mellitus type 1",1
"Guardian Pharmacy","Low back pain",1
"Guardian Pharmacy","Parkinson's disease",1
"Guardian Pharmacy",Psoriasis,1
"Guardian Pharmacy",Dementia,1
Heallergy,Total,23
Heallergy,"Autoimmune diseases",3
Heallergy,"Coronary heart disease",2
Heallergy,Cancer,2
Heallergy,Obesity,2
Heallergy,Schizophrenia,2
Heallergy,Atherosclerosis,1
Heallergy,"Bipolar disorder",1
Heallergy,"Chronic fatigue syndrome",1
Heallergy,"Guillain–Barré syndrome",1
Heallergy,"Irritable bowel syndrome",1
Heallergy,"Multiple sclerosis",1
Heallergy,"Myocardial infarction",1
Heallergy,"Amyotrophic lateral sclerosis",1
Heallergy,"Panic disorder",1
Heallergy,"Anxiety disorder",1
Heallergy,Stroke,1
Heallergy,Asthma,1
"Health Aura",Total,18
"Health Aura","Attention deficit hyperactivity disorder",2
"Health Aura","Autoimmune diseases",2
"Health Aura","Guillain–Barré syndrome",2
"Health Aura",Schizophrenia,2
"Health Aura","Anxiety disorder",1
"Health Aura","Bipolar disorder",1
"Health Aura",Cancer,1
"Health Aura","Myocardial infarction",1
"Health Aura","Panic disorder",1
"Health Aura","Parkinson's disease",1
"Health Aura",Psoriasis,1
"Health Aura","Rheumatoid arthritis",1
"Health Aura",Lupus,1
"Health Aura",Stroke,1
"Health Corner",Total,21
"Health Corner",Stroke,3
"Health Corner","Metabolic syndrome",2
"Health Corner",Lupus,2
"Health Corner","Attention deficit hyperactivity disorder",1
"Health Corner","Autoimmune diseases",1
"Health Corner","Chronic fatigue syndrome",1
"Health Corner",Depression,1
"Health Corner","Diabetes mellitus type 2",1
"Health Corner",Epilepsy,1
"Health Corner","Guillain–Barré syndrome",1
"Health Corner","Multiple sclerosis",1
"Health Corner","Myocardial infarction",1
"Health Corner",Obesity,1
"Health Corner",Psoriasis,1
"Health Corner","Thromboangiitis obliterans",1
"Health Corner",Vasculitis,1
"Health Corner",Asthma,1
"Health Element",Total,18
"Health Element","Guillain–Barré syndrome",2
"Health Element",Cancer,2
"Health Element","Chronic fatigue syndrome",2
"Health Element",Depression,2
"Health Element",Schizophrenia,2
"Health Element","Autoimmune diseases",1
"Health Element","Diabetes mellitus type 1",1
"Health Element","Dilated cardiomyopathy",1
"Health Element","Anorexia nervosa",1
"Health Element","Myocardial infarction",1
"Health Element",Psoriasis,1
"Health Element","Thromboangiitis obliterans",1
"Health Element",Vasculitis,1
"Health Harvest",Total,19
"Health Harvest",Asthma,2
"Health Harvest","Bipolar disorder",2
"Health Harvest",Dementia,2
"Health Harvest","Metabolic syndrome",2
"Health Harvest","Panic disorder",2
"Health Harvest",Cancer,1
"Health Harvest","Crohn's disease",1
"Health Harvest",Atherosclerosis,1
"Health Harvest","Low back pain",1
"Health Harvest","Attention deficit hyperactivity disorder",1
"Health Harvest","Myocardial infarction",1
"Health Harvest","Autoimmune diseases",1
"Health Harvest",Vasculitis,1
"Health Harvest","Anxiety disorder",1
"Health Hexa Drugs",Total,18
"Health Hexa Drugs","Crohn's disease",2
"Health Hexa Drugs","Dilated cardiomyopathy",2
"Health Hexa Drugs","Irritable bowel syndrome",2
"Health Hexa Drugs","Low back pain",2
"Health Hexa Drugs","Obsessive–compulsive disorder",2
"Health Hexa Drugs","Diabetes mellitus type 2",1
"Health Hexa Drugs","Metabolic syndrome",1
"Health Hexa Drugs",Obesity,1
"Health Hexa Drugs","Coronary heart disease",1
"Health Hexa Drugs","Parkinson's disease",1
"Health Hexa Drugs",Sarcoidosis,1
"Health Hexa Drugs","Tourette syndrome",1
"Health Hexa Drugs",Cancer,1
"Health Hub",Total,19
"Health Hub","Attention deficit hyperactivity disorder",2
"Health Hub","Chronic fatigue syndrome",2
"Health Hub","Anxiety disorder",1
"Health Hub",Atherosclerosis,1
"Health Hub","Autoimmune diseases",1
"Health Hub","Bipolar disorder",1
"Health Hub","Chronic obstructive pulmonary disease",1
"Health Hub","Crohn's disease",1
"Health Hub",Depression,1
"Health Hub",Autism,1
"Health Hub","Guillain–Barré syndrome",1
"Health Hub",Lupus,1
"Health Hub","Metabolic syndrome",1
"Health Hub","Panic disorder",1
"Health Hub",Sarcoidosis,1
"Health Hub",Vasculitis,1
"Health Hub","Diabetes mellitus type 1",1
"Health Mart",Total,12
"Health Mart","Alzheimer's disease",2
"Health Mart","Amyotrophic lateral sclerosis",2
"Health Mart",Atherosclerosis,2
"Health Mart","Chronic fatigue syndrome",2
"Health Mart","Diabetes mellitus type 1",1
"Health Mart","Guillain–Barré syndrome",1
"Health Mart","Metabolic syndrome",1
"Health Mart","Myocardial infarction",1
"Health Warehouse",Total,21
"Health Warehouse",Cancer,2
"Health Warehouse","Crohn's disease",2
"Health Warehouse",Lupus,2
"Health Warehouse","Alzheimer's disease",1
"Health Warehouse","Amyotrophic lateral sclerosis",1
"Health Warehouse","Anxiety disorder",1
"Health Warehouse",Atherosclerosis,1
"Health Warehouse",Autism,1
"Health Warehouse","Bipolar disorder",1
"Health Warehouse","Coronary heart disease",1
"Health Warehouse","Diabetes mellitus type 1",1
"Health Warehouse",Epilepsy,1
"Health Warehouse","Guillain–Barré syndrome",1
"Health Warehouse","Low back pain",1
"Health Warehouse","Multiple sclerosis",1
"Health Warehouse",Psoriasis,1
"Health Warehouse","Rheumatoid arthritis",1
"Health Warehouse",Sarcoidosis,1
Healthbest,Total,18
Healthbest,"Anxiety disorder",3
Healthbest,Atherosclerosis,2
Healthbest,Dementia,2
Healthbest,"Diabetes mellitus type 1",2
Healthbest,"Chronic fatigue syndrome",1
Healthbest,"Amyotrophic lateral sclerosis",1
Healthbest,Autism,1
Healthbest,"Diabetes mellitus type 2",1
Healthbest,"Dilated cardiomyopathy",1
Healthbest,"Panic disorder",1
Healthbest,Sarcoidosis,1
Healthbest,"Thromboangiitis obliterans",1
Healthbest,"Autoimmune diseases",1
HealthDirect,Total,17
HealthDirect,Epilepsy,2
HealthDirect,"Multiple sclerosis",2
HealthDirect,"Anorexia nervosa",1
HealthDirect,Asthma,1
HealthDirect,Cancer,1
HealthDirect,Dementia,1
HealthDirect,"Diabetes mellitus type 1",1
HealthDirect,"Diabetes mellitus type 2",1
HealthDirect,"Guillain–Barré syndrome",1
HealthDirect,"Low back pain",1
HealthDirect,Lupus,1
HealthDirect,"Myocardial infarction",1
HealthDirect,"Obsessive–compulsive disorder",1
HealthDirect,Stroke,1
HealthDirect,"Tourette syndrome",1
Healthlink,Total,18
Healthlink,"Low back pain",2
Healthlink,"Chronic fatigue syndrome",2
Healthlink,"Panic disorder",2
Healthlink,Depression,2
Healthlink,"Crohn's disease",1
Healthlink,Epilepsy,1
Healthlink,"Irritable bowel syndrome",1
Healthlink,Lupus,1
Healthlink,"Obsessive–compulsive disorder",1
Healthlink,"Parkinson's disease",1
Healthlink,Psoriasis,1
Healthlink,"Rheumatoid arthritis",1
Healthlink,Vasculitis,1
Healthlink,Autism,1
HealthMart,Total,13
HealthMart,Psoriasis,3
HealthMart,"Anorexia nervosa",1
HealthMart,Atherosclerosis,1
HealthMart,"Crohn's disease",1
HealthMart,Epilepsy,1
HealthMart,"Irritable bowel syndrome",1
HealthMart,"Low back pain",1
HealthMart,"Obsessive–compulsive disorder",1
HealthMart,Sarcoidosis,1
HealthMart,"Tourette syndrome",1
HealthMart,Vasculitis,1
"Healthy Floyds",Total,14
"Healthy Floyds","Diabetes mellitus type 2",2
"Healthy Floyds","Alzheimer's disease",1
"Healthy Floyds","Anorexia nervosa",1
"Healthy Floyds",Atherosclerosis,1
"Healthy Floyds","Autoimmune diseases",1
"Healthy Floyds","Chronic obstructive pulmonary disease",1
"Healthy Floyds","Low back pain",1
"Healthy Floyds",Lupus,1
"Healthy Floyds","Metabolic syndrome",1
"Healthy Floyds","Panic disorder",1
